Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,contrast,scope,lib
prerank,Microbial Modulation Of RIPK1-mediated Regulated Necrosis R-HSA-9686347,0.8138254566862017,1.5778756087022967,0.0231213872832369,0.3197093748690187,0.999,2/6,2.24%,MLKL;RIPK1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Neuronal System R-HSA-112316,-0.3569308687440956,-1.5723583007672823,0.0,0.7296784789646094,1.0,93/341,18.54%,HOMER3;KCNA2;DBNL;GNB5;SLC6A11;COMT;GNB1;PTPRF;SLC18A3;GNG2;KCNK13;NRXN2;PDLIM5;GNG3;PRKCB;NRXN1;PRKCA;GRIA1;KCNQ1;NAAA;GAD1;CPLX1;MPP2;GRIK3;GNAI2;GNG7;LLGL1;GIT1;RAB3A;GABRQ;ABAT;GNB2;NPTN;HRAS;GNAI3;SLC32A1;PTPRS;SH2D3C;NLGN3;GABRB2;LIN7B;KCNS3;PRKAB2;KCNJ11;SYT12;PPFIBP1;AP2A1;KCNAB1;SHANK2;NRG1;KCNK17;CAMK2G;CACNG4;LRFN3;CHRFAM7A;GABRA2;KCNQ2;SYN1;DNAJC5;EPB41L2;SLC6A1;NSF;NLGN2;LRFN4;CAMKK2;NEFL;NRAS;TSPOAP1;SHARPIN;ADCY1;PPFIA2;KCNC4;KCNJ3;ACHE;CHRNE;KCNC1;DLGAP2;GNB4;SHANK3;MYO6;SNAP25;KCNAB2;KCNQ3;HCN1;HOMER2;LRTOMT;ALDH2;SLITRK3;SLC5A7;NLGN4X;CACNA2D2;MPP3;KCNAB3,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,ECM Proteoglycans R-HSA-3000178,-0.4610414919155852,-1.5684996674212952,0.0070093457943925,0.7194655334954722,1.0,12/50,7.20%,ITGAX;COL9A2;AGRN;COL9A1;TNR;LMNB2;NCAN;BCAN;DAG1;COL9A3;ITGB5;PTPRS,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142,0.5144938472727707,1.565199888824284,0.0147874306839186,0.3520917070428582,1.0,17/36,22.68%,PIAS1;NUP58;MDM2;NUP42;NUP43;PIAS2;PML;NUP155;SEH1L;NUP214;NUP35;NDC1;NUP85;NUP88;NUP133;NUP205;NUP98,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Coenzyme A Biosynthesis R-HSA-196783,0.7399227717766633,1.564610055173685,0.0309653916211293,0.3471789407269274,1.0,4/8,14.07%,PANK3;COASY;SLC25A16;PANK1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Protein-protein Interactions At Synapses R-HSA-6794362,-0.4297208301899858,-1.5633787458378925,0.0023148148148148,0.7184293174373211,1.0,27/83,18.49%,HOMER3;DBNL;PTPRF;NRXN2;PDLIM5;NRXN1;GRIA1;MPP2;LLGL1;PTPRS;NLGN3;LIN7B;SYT12;PPFIBP1;SHANK2;LRFN3;EPB41L2;NLGN2;LRFN4;SHARPIN;PPFIA2;DLGAP2;SHANK3;HOMER2;SLITRK3;NLGN4X;MPP3,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Export Of Viral Ribonucleoproteins From Nucleus R-HSA-168274,0.5181901466032582,1.5628112406587202,0.022140221402214,0.3466448462495833,1.0,15/33,22.68%,HSPA1A;NUP58;NUP42;NUP43;XPO1;NUP155;SEH1L;NUP214;NUP35;NDC1;NUP85;NUP88;NUP133;NUP205;NUP98,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-3656244,0.7724245485646511,1.559912171658304,0.0262664165103189,0.3500473413098873,1.0,3/7,11.43%,OMD;PRELP;FMOD,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,RUNX3 Regulates YAP1-mediated Transcription R-HSA-8951671,0.7338943529023714,1.5583107732922337,0.0346153846153846,0.3488558507674509,1.0,4/8,15.37%,TEAD4;CCN2;WWTR1;TEAD2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Synthesis Of diphthamide-EEF2 R-HSA-5358493,0.7330451015225874,1.5571962097395768,0.0232558139534883,0.3462306545076188,1.0,2/8,8.74%,DPH3;DNAJC24,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,-0.5256760727791474,-1.5539655806640458,0.0229166666666666,0.7433723895431809,1.0,10/26,13.24%,SDC3;AGRN;GPC2;NCAN;BCAN;CSPG5;B3GAT2;VCAN;B3GAT1;SDC4,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,FGFR2 Mutant Receptor Activation R-HSA-1839126,-0.5348222418551338,-1.5530615050477918,0.0289855072463768,0.718021739121115,1.0,12/27,19.21%,POLR2E;FGF1;POLR2G;NCBP2;POLR2L;POLR2F;POLR2I;POLR2A;FGF4;FGFR2;GTF2F1;GTF2F2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399,0.7175516812834383,1.5522225186383658,0.0329670329670329,0.3559597021629483,1.0,3/8,2.36%,FLT1;VEGFA;KDR,C9ALS_vs_sALS,ventral_horn_MN,Reactome
